# Created by Octave 3.6.1, Fri Apr 20 13:29:48 2012 PDT <charlie@yukawa>
# name: cpress
# type: matrix
# rows: 105910
# columns: 2
 97603380 1016.39
 97603440 1016.43
 97603500 1016.46
 97603560 1016.43
 97603620 1016.43
 97603680 1016.43
 97603740 1016.43
 97603800 1016.46
 97603860 1016.5
 97603920 1016.39
 97603980 1016.43
 97604040 1016.43
 97604100 1016.46
 97604160 1016.43
 97604220 1016.39
 97604280 1016.39
 97604340 1016.43
 97604400 1016.43
 97604460 1016.46
 97604520 1016.5
 97604580 1016.53
 97604640 1016.5
 97604700 1016.5
 97604760 1016.53
 97604820 1016.53
 97604880 1016.53
 97604940 1016.53
 97605000 1016.5
 97605060 1016.53
 97605120 1016.56
 97605180 1016.53
 97605240 1016.6
 97605300 1016.56
 97605360 1016.66
 97605420 1016.6
 97605480 1016.6
 97605540 1016.63
 97605600 1016.73
 97605660 1016.63
 97605720 1016.7
 97605780 1016.66
 97605840 1016.73
 97605900 1016.7
 97605960 1016.66
 97606020 1016.66
 97606080 1016.66
 97606140 1016.7
 97606200 1016.66
 97606260 1016.66
 97606320 1016.63
 97606380 1016.66
 97606440 1016.7
 97606500 1016.7
 97606560 1016.77
 97606620 1016.77
 97606680 1016.73
 97606740 1016.7
 97606800 1016.73
 97606860 1016.77
 97606920 1016.77
 97606980 1016.8
 97607040 1016.83
 97607100 1016.8
 97607160 1016.83
 97607220 1016.83
 97607280 1016.83
 97607340 1016.8
 97607400 1016.83
 97607460 1016.87
 97607520 1016.8
 97607580 1016.8
 97607640 1016.83
 97607700 1016.77
 97607760 1016.83
 97607820 1016.83
 97607880 1016.9
 97607940 1016.83
 97608000 1016.87
 97608060 1016.87
 97608120 1016.87
 97608180 1016.9
 97608240 1016.87
 97608300 1016.9
 97608360 1016.83
 97608420 1016.9
 97608480 1017.04
 97608540 1016.94
 97608600 1016.9
 97608660 1016.9
 97608720 1016.94
 97608780 1016.9
 97608840 1016.9
 97608900 1017.04
 97608960 1016.94
 97609020 1016.97
 97609080 1017
 97609140 1016.97
 97609200 1017
 97609260 1016.97
 97609320 1017.04
 97609380 1017.07
 97609440 1017.07
 97609500 1017.14
 97609560 1017.07
 97609620 1017.07
 97609680 1017.14
 97609740 1017.11
 97609800 1017.14
 97609860 1017.11
 97609920 1017.11
 97609980 1017.11
 97610040 1017.11
 97610100 1017.14
 97610160 1017.11
 97610220 1017.14
 97610280 1017.14
 97610340 1017.14
 97610400 1017.17
 97610460 1017.21
 97610520 1017.17
 97610580 1017.21
 97610640 1017.17
 97610700 1017.21
 97610760 1017.21
 97610820 1017.24
 97610880 1017.24
 97610940 1017.24
 97611000 1017.17
 97611060 1017.17
 97611120 1017.17
 97611180 1017.17
 97611240 1017.17
 97611300 1017.14
 97611360 1017.17
 97611420 1017.14
 97611480 1017.14
 97611540 1017.14
 97611600 1017.17
 97611660 1017.17
 97611720 1017.14
 97611780 1017.21
 97611840 1017.21
 97611900 1017.24
 97611960 1017.24
 97612020 1017.24
 97612080 1017.24
 97612140 1017.27
 97612200 1017.27
 97612260 1017.24
 97612320 1017.27
 97612380 1017.24
 97612440 1017.31
 97612500 1017.31
 97612560 1017.27
 97612620 1017.31
 97612680 1017.27
 97612740 1017.27
 97612800 1017.24
 97612860 1017.21
 97612920 1017.24
 97612980 1017.27
 97613040 1017.27
 97613100 1017.27
 97613160 1017.31
 97613220 1017.38
 97613280 1017.34
 97613340 1017.31
 97613400 1017.38
 97613460 1017.34
 97613520 1017.31
 97613580 1017.34
 97613640 1017.38
 97613700 1017.41
 97613760 1017.41
 97613820 1017.41
 97613880 1017.44
 97613940 1017.41
 97614000 1017.48
 97614060 1017.48
 97614120 1017.44
 97614180 1017.51
 97614240 1017.48
 97614300 1017.41
 97614360 1017.55
 97614420 1017.48
 97614480 1017.44
 97614540 1017.44
 97614600 1017.41
 97614660 1017.48
 97614720 1017.48
 97614780 1017.44
 97614840 1017.48
 97614900 1017.48
 97614960 1017.51
 97615020 1017.55
 97615080 1017.55
 97615140 1017.51
 97615200 1017.55
 97615260 1017.58
 97615320 1017.58
 97615380 1017.61
 97615440 1017.61
 97615500 1017.55
 97615560 1017.55
 97615620 1017.55
 97615680 1017.58
 97615740 1017.58
 97615800 1017.61
 97615860 1017.61
 97615920 1017.61
 97615980 1017.58
 97616040 1017.58
 97616100 1017.61
 97616160 1017.61
 97616220 1017.65
 97616280 1017.58
 97616340 1017.58
 97616400 1017.61
 97616460 1017.65
 97616520 1017.61
 97616580 1017.65
 97616640 1017.65
 97616700 1017.68
 97616760 1017.65
 97616820 1017.65
 97616880 1017.65
 97616940 1017.65
 97617000 1017.68
 97617060 1017.61
 97617120 1017.61
 97617180 1017.65
 97617240 1017.68
 97617300 1017.71
 97617360 1017.71
 97617420 1017.75
 97617480 1017.75
 97617540 1017.75
 97617600 1017.71
 97617660 1017.75
 97617720 1017.75
 97617780 1017.75
 97617840 1017.78
 97617900 1017.78
 97617960 1017.75
 97618020 1017.78
 97618080 1017.75
 97618140 1017.75
 97618200 1017.75
 97618260 1017.71
 97618320 1017.78
 97618380 1017.75
 97618440 1017.75
 97618500 1017.71
 97618560 1017.71
 97618620 1017.75
 97618680 1017.75
 97618740 1017.71
 97618800 1017.75
 97618860 1017.75
 97618920 1017.78
 97618980 1017.82
 97619040 1017.82
 97619100 1017.82
 97619160 1017.82
 97619220 1017.85
 97619280 1017.88
 97619340 1017.88
 97619400 1017.88
 97619460 1017.88
 97619520 1017.88
 97619580 1017.92
 97619640 1017.92
 97619700 1017.85
 97619760 1017.88
 97619820 1017.82
 97619880 1017.85
 97619940 1017.88
 97620000 1017.92
 97620060 1017.92
 97620120 1017.92
 97620180 1017.95
 97620240 1017.99
 97620300 1017.95
 97620360 1017.99
 97620420 1017.95
 97620480 1017.99
 97620540 1017.95
 97620600 1017.88
 97620660 1017.92
 97620720 1017.92
 97620780 1017.88
 97620840 1017.95
 97620900 1017.92
 97620960 1017.95
 97621020 1017.95
 97621080 1018.02
 97621140 1018.02
 97621200 1018.05
 97621260 1018.05
 97621320 1018.05
 97621380 1018.05
 97621440 1018.05
 97621500 1017.95
 97621560 1017.95
 97621620 1017.92
 97621680 1017.92
 97621740 1017.95
 97621800 1017.95
 97621860 1017.92
 97621920 1017.99
 97621980 1017.95
 97622040 1017.95
 97622100 1017.92
 97622160 1017.92
 97622220 1017.92
 97622280 1017.85
 97622340 1017.88
 97622400 1017.82
 97622460 1017.85
 97622520 1017.85
 97622580 1017.82
 97622640 1017.85
 97622700 1017.85
 97622760 1017.82
 97622820 1017.85
 97622880 1017.82
 97622940 1017.85
 97623000 1017.85
 97623060 1017.85
 97623120 1017.85
 97623180 1017.88
 97623240 1017.92
 97623300 1017.92
 97623360 1017.88
 97623420 1017.92
 97623480 1017.95
 97623540 1017.92
 97623600 1017.85
 97623660 1017.88
 97623720 1017.88
 97623780 1017.88
 97623840 1017.88
 97623900 1017.92
 97623960 1017.92
 97624020 1017.95
 97624080 1017.95
 97624140 1017.92
 97624200 1017.92
 97624260 1017.99
 97624320 1017.95
 97624380 1017.95
 97624440 1017.85
 97624500 1017.85
 97624560 1017.92
 97624620 1017.92
 97624680 1017.92
 97624740 1017.92
 97624800 1018.09
 97624860 1017.95
 97624920 1017.92
 97624980 1017.95
 97625040 1017.99
 97625100 1017.99
 97625160 1017.99
 97625220 1017.95
 97625280 1017.95
 97625340 1017.95
 97625400 1017.92
 97625460 1017.95
 97625520 1017.95
 97625580 1017.92
 97625640 1017.99
 97625700 1017.99
 97625760 1018.02
 97625820 1018.05
 97625880 1018.02
 97625940 1017.99
 97626000 1017.92
 97626060 1017.92
 97626120 1017.99
 97626180 1018.05
 97626240 1017.95
 97626300 1017.95
 97626360 1018.02
 97626420 1018.02
 97626480 1018.02
 97626540 1018.05
 97626600 1018.05
 97626660 1018.05
 97626720 1018.05
 97626780 1018.09
 97626840 1018.05
 97626900 1018.05
 97626960 1018.02
 97627020 1018.05
 97627080 1018.05
 97627140 1018.09
 97627200 1018.05
 97627260 1018.05
 97627320 1018.05
 97627380 1018.02
 97627440 1018.02
 97627500 1018.09
 97627560 1018.09
 97627620 1018.12
 97627680 1018.16
 97627740 1018.19
 97627800 1018.22
 97627860 1018.19
 97627920 1018.22
 97627980 1018.19
 97628040 1018.19
 97628100 1018.12
 97628160 1018.19
 97628220 1018.16
 97628280 1018.19
 97628340 1018.22
 97628400 1018.26
 97628460 1018.26
 97628520 1018.26
 97628580 1018.26
 97628640 1018.32
 97628700 1018.26
 97628760 1018.32
 97628820 1018.29
 97628880 1018.32
 97628940 1018.29
 97629000 1018.32
 97629060 1018.32
 97629120 1018.32
 97629180 1018.32
 97629240 1018.32
 97629300 1018.39
 97629360 1018.39
 97629420 1018.39
 97629480 1018.43
 97629540 1018.39
 97629600 1018.43
 97629660 1018.46
 97629720 1018.46
 97629780 1018.46
 97629840 1018.43
 97629900 1018.43
 97629960 1018.43
 97630020 1018.46
 97630080 1018.43
 97630140 1018.46
 97630200 1018.49
 97630260 1018.49
 97630320 1018.49
 97630380 1018.46
 97630440 1018.49
 97630500 1018.53
 97630560 1018.53
 97630620 1018.49
 97630680 1018.56
 97630740 1018.6
 97630800 1018.6
 97630860 1018.56
 97630920 1018.6
 97630980 1018.6
 97631040 1018.66
 97631100 1018.66
 97631160 1018.66
 97631220 1018.63
 97631280 1018.63
 97631340 1018.63
 97631400 1018.7
 97631460 1018.66
 97631520 1018.73
 97631580 1018.76
 97631640 1018.76
 97631700 1018.73
 97631760 1018.73
 97631820 1018.76
 97631880 1018.73
 97631940 1018.76
 97632000 1018.7
 97632060 1018.7
 97632120 1018.76
 97632180 1018.76
 97632240 1018.83
 97632300 1018.83
 97632360 1018.87
 97632420 1018.87
 97632480 1018.87
 97632540 1018.87
 97632600 1018.8
 97632660 1018.83
 97632720 1018.87
 97632780 1018.83
 97632840 1018.87
 97632900 1018.87
 97632960 1018.87
 97633020 1018.9
 97633080 1018.93
 97633140 1018.9
 97633200 1018.9
 97633260 1018.9
 97633320 1018.9
 97633380 1018.9
 97633440 1018.83
 97633500 1018.83
 97633560 1018.83
 97633620 1018.87
 97633680 1018.83
 97633740 1018.87
 97633800 1018.9
 97633860 1018.87
 97633920 1018.9
 97633980 1018.97
 97634040 1018.93
 97634100 1018.93
 97634160 1019
 97634220 1019
 97634280 1018.97
 97634340 1019.04
 97634400 1019.14
 97634460 1019.14
 97634520 1019.17
 97634580 1019.14
 97634640 1019.14
 97634700 1019.2
 97634760 1019.17
 97634820 1019.17
 97634880 1019.17
 97634940 1019.31
 97635000 1019.17
 97635060 1019.2
 97635120 1019.14
 97635180 1019.14
 97635240 1019.14
 97635300 1019.14
 97635360 1019.2
 97635420 1019.14
 97635480 1019.17
 97635540 1019.17
 97635600 1019.17
 97635660 1019.17
 97635720 1019.2
 97635780 1019.24
 97635840 1019.2
 97635900 1019.24
 97635960 1019.24
 97636020 1019.24
 97636080 1019.31
 97636140 1019.27
 97636200 1019.27
 97636260 1019.27
 97636320 1019.27
 97636380 1019.24
 97636440 1019.27
 97636500 1019.24
 97636560 1019.27
 97636620 1019.27
 97636680 1019.27
 97636740 1019.27
 97636800 1019.31
 97636860 1019.34
 97636920 1019.31
 97636980 1019.34
 97637040 1019.31
 97637100 1019.37
 97637160 1019.41
 97637220 1019.41
 97637280 1019.41
 97637340 1019.41
 97637400 1019.41
 97637460 1019.37
 97637520 1019.41
 97637580 1019.41
 97637640 1019.44
 97637700 1019.41
 97637760 1019.44
 97637820 1019.48
 97637880 1019.41
 97637940 1019.41
 97638000 1019.44
 97638060 1019.51
 97638120 1019.44
 97638180 1019.44
 97638240 1019.51
 97638300 1019.54
 97638360 1019.58
 97638420 1019.54
 97638480 1019.54
 97638540 1019.58
 97638600 1019.58
 97638660 1019.61
 97638720 1019.54
 97638780 1019.58
 97638840 1019.58
 97638900 1019.61
 97638960 1019.65
 97639020 1019.58
 97639080 1019.58
 97639140 1019.61
 97639200 1019.68
 97639260 1019.65
 97639320 1019.65
 97639380 1019.68
 97639440 1019.65
 97639500 1019.65
 97639560 1019.61
 97639620 1019.61
 97639680 1019.61
 97639740 1019.61
 97639800 1019.61
 97639860 1019.61
 97639920 1019.68
 97639980 1019.68
 97640040 1019.61
 97640100 1019.65
 97640160 1019.61
 97640220 1019.61
 97640280 1019.65
 97640340 1019.61
 97640400 1019.61
 97640460 1019.65
 97640520 1019.61
 97640580 1019.58
 97640640 1019.58
 97640700 1019.58
 97640760 1019.54
 97640820 1019.61
 97640880 1019.61
 97640940 1019.61
 97641000 1019.61
 97641060 1019.54
 97641120 1019.54
 97641180 1019.54
 97641240 1019.51
 97641300 1019.54
 97641360 1019.51
 97641420 1019.58
 97641480 1019.61
 97641540 1019.58
 97641600 1019.54
 97641660 1019.58
 97641720 1019.51
 97641780 1019.51
 97641840 1019.51
 97641900 1019.51
 97641960 1019.51
 97642020 1019.51
 97642080 1019.48
 97642140 1019.51
 97642200 1019.51
 97642260 1019.51
 97642320 1019.48
 97642380 1019.48
 97642440 1019.48
 97642500 1019.44
 97642560 1019.44
 97642620 1019.44
 97642680 1019.41
 97642740 1019.44
 97642800 1019.48
 97642860 1019.48
 97642920 1019.51
 97642980 1019.48
 97643040 1019.54
 97643100 1019.58
 97643160 1019.58
 97643220 1019.58
 97643280 1019.61
 97643340 1019.54
 97643400 1019.54
 97643460 1019.51
 97643520 1019.54
 97643580 1019.51
 97643640 1019.54
 97643700 1019.58
 97643760 1019.61
 97643820 1019.54
 97643880 1019.54
 97643940 1019.58
 97644000 1019.58
 97644060 1019.54
