#Angle	Voltage		FB
-0.1	38.4		.1435
-0.1	59.1		3.5e-2
-0.1	76.9		-.043
-0.1	84.1		-0.067
-0.1	107.8		-0.133
-0.1	152.5		-0.1880
-0.1	155.8		-0.1884	
-0.1	160.1		-0.188
-0.1	176.1		-0.1818


-0.13	71.3		2.02e-2
-0.13	104.6		-0.084
-0.13	123.5		-0.103
-0.13	155.8		-0.065
-0.13	176.3		0.004
-0.13	194.9		0.1037


-0.2	71.3		.248
-0.2	99.4		0.117
-0.2	106.5		0.111
-0.2	129.6		0.163
-0.2	158.8		0.395


-0.23	63.8		0.537
-0.23	80.0		0.380
-0.23	87.3		0.336
-0.23	106.4		0.288
-0.23	115.5		0.302
-0.23	136.7		0.428


-0.05	133.6		-0.285
-0.05	104.7		-0.1724
-0.05	81.5		-0.089
-0.05	63.8		0.030
-0.05	0.1		0.165
-0.05	-23.3		0.221
-0.05	-37.3		0.251
-0.05	-58.9		0.292
#Uncontrollable with bias at voltages smaller than ~-70 mV. 


0	-39.1		-0.209
0	-16.6		-0.104
0	-4.4		-0.063
0	8.4		-.320e-2
0	20.6		-0.015
0	43.5		-0.013
0	66.2		-0.055
0	89.1		-0.136


0.05	-4.1		-.306
0.05	15.7		-.158
0.05	30.0		-0.090
0.05	44.6		-0.054
0.05	66.3		-0.065
0.05	80.7		-0.112
0.05	97.0		-0.210


0.07	97.0		-0.226
0.07	80.2		-0.120
0.07	66.5		-0.071
0.07	50.4		-0.063
0.07	19.1		-0.198
0.07	-0.4		-0.385



